@relation MovimientosCentrar

@attribute distanciaCocheDelante numeric
@attribute distanciaCocheAtras numeric
@attribute angulo numeric
@attribute tiempo numeric
@attribute velocidad numeric

@data
0.9744,5.964369,0,1,-2.494984
7.231212,0.334201,0,1,3.448505
